Date,Open,High,Low,Close,Adj Close,Volume
2023-01-01,101.85,102.27,101.35,101.49,101.22,1312250
2023-01-02,102.28,102.55,100.92,101.72,101.17,1605409
2023-01-03,104.6,104.65,103.31,103.51,102.86,2074135
2023-01-04,108.11,108.98,106.89,107.06,106.78,3989179
2023-01-05,105.71,107.9,105.55,107.09,106.94,3655182
2023-01-06,106.18,108.12,105.37,107.12,106.23,1856101
2023-01-07,111.3,112.29,110.11,110.78,109.69,2725690
2023-01-08,113.33,113.88,112.29,112.82,112.22,4280772
2023-01-09,112.89,113.66,112.02,112.38,112.18,4257945
2023-01-10,117.81,118.76,113.08,113.96,113.65,2614737
2023-01-11,114.11,114.95,113.14,113.53,113.51,1892964
2023-01-12,114.24,114.49,112.29,113.1,112.07,2961275
2023-01-13,115.04,115.49,113.65,114.09,113.95,1403119
2023-01-14,111.41,111.54,110.38,110.76,110.12,3755532
2023-01-15,107.5,108.76,107.03,107.81,107.51,4973915
2023-01-16,107.94,108.55,106.88,107.19,106.59,2135564
2023-01-17,104.89,105.89,104.14,105.66,104.97,3667088
2023-01-18,106.55,107.46,106.05,106.79,105.9,1125991
2023-01-19,104.99,106.09,104.76,105.47,105.25,1402732
2023-01-20,103.23,103.59,102.25,103.15,103.14,1506079
2023-01-21,108.89,109.01,106.2,106.58,106.43,2950013
2023-01-22,104.76,107.3,104.22,106.63,105.67,3623836
2023-01-23,107.95,108.47,106.36,107.26,106.33,2132658
2023-01-24,103.3,105.69,102.68,104.91,104.29,2985209
2023-01-25,103.85,104.84,103.74,104.32,103.7,1128322
2023-01-26,106.14,106.99,104.11,105.05,104.35,1656951
2023-01-27,103.31,103.86,102.62,103.24,103.06,1011303
2023-01-28,103.42,105.06,103.08,104.5,103.54,2210209
2023-01-29,103.08,104.67,102.94,103.79,103.36,4479591
2023-01-30,104.39,104.79,102.92,103.71,103.31,2298266
2023-01-31,102.28,103.14,101.66,103.01,102.47,2009612
2023-02-01,107.43,107.46,106.68,107.21,107.16,2832684
2023-02-02,107.73,108.49,106.79,107.69,107.51,3196768
2023-02-03,105.42,106.69,104.63,106.07,105.29,4007749
2023-02-04,110.36,111.06,108.06,108.22,108.13,4231959
2023-02-05,106.91,107.12,105.96,106.27,105.63,3366610
2023-02-06,105.17,107.33,104.92,107.19,106.93,2068199
2023-02-07,103.96,103.97,103.03,103.77,103.37,1723035
2023-02-08,100.95,101.97,100.92,101.62,101.32,1490042
2023-02-09,103.36,103.95,101.94,102.51,102.14,1458298
2023-02-10,103.69,104.88,102.93,104.49,103.73,2047343
2023-02-11,105.21,105.77,104.34,105.33,105.02,2525416
2023-02-12,106.1,107.01,105.26,105.6,105.0,1105228
2023-02-13,106.36,106.71,104.67,105.5,104.99,1426346
2023-02-14,101.84,103.55,101.73,103.04,102.35,2755692
2023-02-15,101.76,102.88,100.92,102.1,101.14,1884056
2023-02-16,101.2,102.07,101.07,101.68,100.93,2730228
2023-02-17,103.64,104.91,103.24,104.29,104.07,2946793
2023-02-18,107.24,108.11,104.68,105.48,105.45,2569123
2023-02-19,102.86,103.81,102.3,102.45,102.18,2921214
2023-02-20,102.34,103.75,102.11,103.6,102.98,4215002
2023-02-21,104.25,105.18,102.61,103.33,103.28,4279269
2023-02-22,104.6,105.09,101.76,102.48,101.97,4199675
2023-02-23,105.23,105.49,103.56,104.2,103.58,2726470
2023-02-24,105.24,107.22,104.55,106.76,106.41,4340420
2023-02-25,108.64,110.1,108.1,109.12,108.28,1048874
2023-02-26,109.21,109.71,107.69,107.95,107.83,2622572
2023-02-27,107.12,108.16,106.77,107.83,107.75,4220281
2023-02-28,109.43,110.07,108.81,108.99,108.2,3689784
2023-03-01,112.22,112.46,110.53,111.44,110.89,4981298
2023-03-02,110.06,111.06,109.47,110.98,110.22,1709662
2023-03-03,111.05,111.24,110.65,111.11,110.63,3669078
2023-03-04,106.16,109.53,105.7,109.4,109.13,2126825
2023-03-05,106.48,107.66,105.54,107.51,106.63,3624159
2023-03-06,109.38,109.77,109.23,109.63,108.76,1678250
2023-03-07,111.6,113.49,111.01,112.84,112.06,1470452
2023-03-08,114.83,115.01,112.69,113.2,112.89,2478301
2023-03-09,114.28,116.05,113.67,115.71,115.02,3139686
2023-03-10,116.49,117.83,116.47,116.93,116.51,3592670
2023-03-11,116.27,116.75,115.27,116.14,116.03,1616529
2023-03-12,118.8,119.47,116.43,117.36,116.29,3509155
2023-03-13,119.5,121.11,118.94,120.94,120.77,3223361
2023-03-14,122.53,122.72,120.67,121.37,120.21,1442061
2023-03-15,125.01,125.05,124.07,125.0,124.44,4334732
2023-03-16,119.28,120.43,118.57,120.26,120.03,3713564
2023-03-17,122.86,123.14,122.25,122.4,121.74,4761675
2023-03-18,123.27,123.45,122.5,123.08,122.0,3261286
2023-03-19,122.38,123.07,121.77,122.98,122.08,4221441
2023-03-20,123.73,123.85,123.24,123.66,122.66,4888351
2023-03-21,119.8,120.65,119.06,120.19,119.39,1488972
2023-03-22,120.36,120.57,119.31,120.25,119.41,4075117
2023-03-23,122.12,122.49,120.53,121.46,120.43,2123994
2023-03-24,126.5,127.01,124.47,124.92,124.6,4081328
